date,JDUT,Ls
1999-05-03,2451301.5,223.36180959157332
1999-07-29,2451388.5,226.48097598815943
1999-10-24,2451475.5,229.5973200653302
2000-01-19,2451562.5,232.7463486293895
2000-04-15,2451649.5,235.88692275098998
2000-07-11,2451736.5,239.06002058254793
2000-10-06,2451823.5,242.2267935239734
2001-01-01,2451910.5,245.41920127590134
2001-03-29,2451997.5,248.61204942654885
2001-06-24,2452084.5,251.81752710204893
2001-09-19,2452171.5,255.0356259208536
2001-12-15,2452258.5,258.2519286375047
2002-03-12,2452345.5,261.4903713713241
2002-06-07,2452432.5,264.71400581027217
2002-09-02,2452519.5,267.9670563005874
2002-11-28,2452606.5,271.19888913605485
2003-02-23,2452693.5,274.4581531476121
2003-05-21,2452780.5,277.6963367266786
2003-08-16,2452867.5,280.9538266464085
2003-11-11,2452954.5,284.1983276705767
2004-02-06,2453041.5,287.446971924995
2004-05-03,2453128.5,290.69343390313765
2004-07-29,2453215.5,293.92907067574936
2004-10-24,2453302.5,297.17264717338657
2005-01-19,2453389.5,300.393085693936
2005-04-16,2453476.5,303.62665594789837
2005-07-12,2453563.5,306.8315806988972
2005-10-07,2453650.5,310.0480313121244
2006-01-02,2453737.5,313.2363961127818
2006-03-30,2453824.5,316.42949145232694
2006-06-25,2453911.5,319.60054583712366
2006-09-20,2453998.5,322.7654367086418
2006-12-16,2454085.5,325.9158826211651
2007-03-13,2454172.5,329.0504965606594
2007-06-08,2454259.5,332.17722370947683
2007-09-03,2454346.5,335.28110268081446
2007-11-29,2454433.5,338.37924612039683
2008-02-24,2454520.5,341.45299220557945
2008-05-21,2454607.5,344.51947437801664
2008-08-16,2454694.5,347.563127322187
2008-11-11,2454781.5,350.5954398379194
2009-02-06,2454868.5,353.60837323939694
2009-05-04,2454955.5,356.60635110200207
2009-07-30,2455042.5,359.58719293548484
2009-10-25,2455129.5,2.551646008535519
2010-01-20,2455216.5,5.498990443911872
2010-04-17,2455303.5,8.431588237652473
2010-07-13,2455390.5,11.344677136337578
2010-10-08,2455477.5,14.246570152026862
2011-01-03,2455564.5,17.12572166370883
2011-03-31,2455651.5,19.9971884211882
2011-06-26,2455738.5,22.84501117135896
2011-09-21,2455825.5,25.68545667008369
2011-12-17,2455912.5,28.504708981923077
2012-03-13,2455999.5,31.31341136853107
2012-06-08,2456086.5,34.10843864888768
2012-09-03,2456173.5,36.88581862970716
2012-11-29,2456260.5,39.65827090426263
2013-02-24,2456347.5,42.40552359023662
2013-05-22,2456434.5,45.15764794011724
2013-08-17,2456521.5,47.87863211239858
2013-11-12,2456608.5,50.6088674900032
2014-02-07,2456695.5,53.3081414022631
2014-05-05,2456782.5,56.01610453622102
2014-07-31,2456869.5,58.69988197493553
2014-10-26,2456956.5,61.38376883825912
2015-01-21,2457043.5,64.05654405534221
2015-04-18,2457130.5,66.71783562035364
2015-07-14,2457217.5,69.38248899546215
2015-10-09,2457304.5,72.02337271323066
2016-01-04,2457391.5,74.68060709006782
2016-03-31,2457478.5,77.30658903518284
2016-06-26,2457565.5,79.9547659897226
2016-09-21,2457652.5,82.57126339169956
2016-12-17,2457739.5,85.20910329209681
2017-03-14,2457826.5,87.82362656762001
2017-06-09,2457913.5,90.44910405960528
2017-09-04,2458000.5,93.06595493269141
2017-11-30,2458087.5,95.68075822793406
2018-02-25,2458174.5,98.3038643727647
2018-05-23,2458261.5,100.91055603478125
2018-08-18,2458348.5,103.5389817988107
2018-11-13,2458435.5,106.14357967044724
2019-02-08,2458522.5,108.77669790281274
2019-05-06,2458609.5,111.38506840600687
2019-08-01,2458696.5,114.02056905437074
2019-10-27,2458783.5,116.63929675187367
2020-01-22,2458870.5,119.27698613666674
2020-04-18,2458957.5,121.910719348379
2020-07-14,2459044.5,124.55196039790987
2020-10-09,2459131.5,127.20394589993715
2021-01-04,2459218.5,129.8520589113864
2021-04-01,2459305.5,132.52236758965105
2021-06-27,2459392.5,135.18305852152437
2021-09-22,2459479.5,137.87149548941184
2021-12-18,2459566.5,140.54982190554938
2022-03-15,2459653.5,143.25474455115025
2022-06-10,2459740.5,145.9561394182666
2022-09-05,2459827.5,148.67878568794518
2022-12-01,2459914.5,151.4059364557732
2023-02-26,2460001.5,154.14731913522743
2023-05-24,2460088.5,156.90215914512865
2023-08-19,2460175.5,159.66601213376546
2023-11-14,2460262.5,162.4484642238467
2024-02-09,2460349.5,165.237756746831
2024-05-06,2460436.5,168.04759149057776
2024-08-01,2460523.5,170.86600105965886
2024-10-27,2460610.5,173.70330616855978
2025-01-22,2460697.5,176.55276737776526
2025-04-19,2460784.5,179.418769042921
2025-07-15,2460871.5,182.29999888426784
2025-10-10,2460958.5,185.19687288243534
2026-01-05,2461045.5,188.10945283961567
2026-04-02,2461132.5,191.03920195102836
2026-06-28,2461219.5,193.98233914410207
2026-09-23,2461306.5,196.946674908072
2026-12-19,2461393.5,199.92027843157123
2027-03-16,2461480.5,202.9188990979595
2027-06-11,2461567.5,205.9235752144212
2027-09-06,2461654.5,208.95552466765778
2027-12-02,2461741.5,211.99305255910082
2028-02-27,2461828.5,215.05467718802242
2028-05-24,2461915.5,218.12629772063326
2028-08-19,2462002.5,221.21507377103546
2028-11-14,2462089.5,224.3215256861768
2029-02-09,2462176.5,227.4341615669186
2029-05-07,2462263.5,230.5734465363118
2029-08-02,2462350.5,233.7096522886906
2029-10-28,2462437.5,236.8785572570477
2030-01-23,2462524.5,240.03796755998286
2030-04-20,2462611.5,243.23075413866573
2030-07-16,2462698.5,246.41444561430916
2030-10-11,2462785.5,249.62467363440004
2031-01-06,2462872.5,252.83246230874607
2031-04-03,2462959.5,256.0542068516748
2031-06-29,2463046.5,259.28441889509156
2031-09-24,2463133.5,262.51264496579273
2031-12-20,2463220.5,265.76106105129224
2032-03-16,2463307.5,268.9945386076675
2032-06-11,2463394.5,272.2546729394839
2032-09-06,2463481.5,275.49168839976926
2032-12-02,2463568.5,278.75547481551394
2033-02-27,2463655.5,281.9970098660528
2033-05-25,2463742.5,285.2568604967028
2033-08-20,2463829.5,288.500231065551
2033-11-15,2463916.5,291.74899840225004
2034-02-10,2464003.5,294.99255497475264
2034-05-08,2464090.5,298.22610717668266
2034-08-03,2464177.5,301.46383354731967
2034-10-29,2464264.5,304.6795674477782
2035-01-24,2464351.5,307.90593772673543
2035-04-21,2464438.5,311.1036043490973
2035-07-17,2464525.5,314.3108242544047
2035-10-12,2464612.5,317.49006971359665
2036-01-07,2464699.5,320.67260341326283
2036-04-03,2464786.5,323.83205480501715
2036-06-29,2464873.5,326.9852061975566
2036-09-24,2464960.5,330.12254200062193
2036-12-20,2465047.5,333.24462748814324
2037-03-17,2465134.5,336.356086746215
2037-06-12,2465221.5,339.4462200177795
2037-09-07,2465308.5,342.52836880885764
2037-12-03,2465395.5,345.58730995502486
2038-02-28,2465482.5,348.6366103835241
2038-05-26,2465569.5,351.66435146645836
2038-08-21,2465656.5,354.67910065658754
2038-11-16,2465743.5,357.67520504111
2039-02-11,2465830.5,0.6552135468269996
2039-05-09,2465917.5,3.6183802758780472
2039-08-04,2466004.5,6.5649472170422465
2039-10-30,2466091.5,9.493743129104292
2040-01-25,2466178.5,12.408614518006967
2040-04-21,2466265.5,15.302859360704367
2040-07-17,2466352.5,18.18741423738835
2040-10-12,2466439.5,21.047894997969003
2041-01-07,2466526.5,23.902786186085674
2041-04-04,2466613.5,26.73248754861653
2041-06-30,2466700.5,29.557430806251013
2041-09-25,2466787.5,32.3602661049248
2041-12-21,2466874.5,35.15494116519151
2042-03-18,2466961.5,37.93497147293557
2042-06-13,2467048.5,40.69915101024128
2042-09-08,2467135.5,43.4594569785652
2042-12-04,2467222.5,46.19532697668515
2043-03-01,2467309.5,48.93662793594155
2043-05-27,2467396.5,51.64687848806122
2043-08-22,2467483.5,54.368912155404665
2043-11-17,2467570.5,57.05931446453141
2044-02-12,2467657.5,59.76024247757511
2044-05-09,2467744.5,62.435400963315864
2044-08-04,2467831.5,65.11429038226399
2044-10-30,2467918.5,67.78014138755293
2045-01-25,2468005.5,70.43686900975906
2045-04-22,2468092.5,73.09578846430868
2045-07-18,2468179.5,75.73315284948944
2045-10-13,2468266.5,78.38646940187695
2046-01-08,2468353.5,81.00893753900327
2046-04-05,2468440.5,83.65491138954373
2046-07-01,2468527.5,86.26962218427528
2046-09-26,2468614.5,88.90654538238715
2046-12-22,2468701.5,91.51905970088929
2047-03-19,2468788.5,94.14586964833816
2047-06-14,2468875.5,96.76289460953451
2047-09-09,2468962.5,99.38035094760542
2047-12-05,2469049.5,102.00374361437696
2048-03-01,2469136.5,104.61485748451804
2048-05-27,2469223.5,107.24724314758126
2048-08-22,2469310.5,109.8574516548258
2048-11-17,2469397.5,112.49590557816687
2049-02-12,2469484.5,115.11150457016032
2049-05-10,2469571.5,117.75596283280683
2049-08-05,2469658.5,120.38389279991699
2049-10-31,2469745.5,123.0322651464146
2050-01-26,2469832.5,125.67683407994285
2050-04-23,2469919.5,128.3317263433253
2050-07-19,2470006.5,130.99607752557267
2050-10-14,2470093.5,133.65979280809017
2051-01-09,2470180.5,136.34432326523842
2051-04-06,2470267.5,139.0220717928262
2051-07-02,2470354.5,141.726318186801
2051-09-27,2470441.5,144.4229803803153
2051-12-23,2470528.5,147.14624798601457
2052-03-19,2470615.5,149.86685381723404
2052-06-14,2470702.5,152.60906600159402
2052-09-09,2470789.5,155.35670510437998
2052-12-05,2470876.5,158.12001184209493
2053-03-02,2470963.5,160.89621676133797
2053-05-28,2471050.5,163.68321067365255
2053-08-23,2471137.5,166.48800038811314
2053-11-18,2471224.5,169.3024480221959
2054-02-13,2471311.5,172.13578105383942
2054-05-11,2471398.5,174.98026083923475
2054-08-06,2471485.5,177.84237466248834
2054-11-01,2471572.5,180.71891049992118
2055-01-27,2471659.5,183.61097333704015
2055-04-24,2471746.5,186.51979437778346
2055-07-20,2471833.5,189.44375676716643
2055-10-15,2471920.5,192.38413178152302
2056-01-10,2472007.5,195.34198372213623
2056-04-06,2472094.5,198.3127993447867
2056-07-02,2472181.5,201.30565601602848
2056-09-27,2472268.5,204.3064244782556
2056-12-23,2472355.5,207.33396377448923
2057-03-20,2472442.5,210.36533421244295
2057-06-15,2472529.5,213.4249959511313
2057-09-10,2472616.5,216.48784991137478
2057-12-06,2472703.5,219.57661195674382
2058-03-03,2472790.5,222.67247578962923
2058-05-29,2472877.5,225.7856427647583
2058-08-24,2472964.5,228.91387404201197
2058-11-19,2473051.5,232.0489447662033
2059-02-14,2473138.5,235.20868653477493
2059-05-12,2473225.5,238.36306780274657
2059-08-07,2473312.5,241.54907982549233
2059-11-02,2473399.5,244.72371866977443
2060-01-28,2473486.5,247.93135765386768
2060-04-24,2473573.5,251.12647422430294
2060-07-20,2473660.5,254.34819213635336
