JDUT,Ls
2411368.5,336.72143315269716
2411455.5,339.8094675934733
2411542.5,342.8832398752479
2411629.5,345.9381149792535
2411716.5,348.98096180221614
2411803.5,352.0036239417568
2411890.5,355.013305925377
2411977.5,358.0042410567992
2412064.5,0.9796878598924695
2412151.5,3.938958096421168
2412238.5,6.8806921935680485
2412325.5,9.807576684515077
2412412.5,12.717288413234305
2412499.5,15.610608908697063
2412586.5,18.490735718691827
2412673.5,21.35059152723047
2412760.5,24.20284861526472
2412847.5,27.029813545201694
2412934.5,29.85479649394064
2413021.5,32.65234635614451
2413108.5,35.449525994985066
2413195.5,38.22081279611607
2413282.5,40.989225266363775
2413369.5,43.739376476174044
2413456.5,46.47865012509312
2413543.5,49.21055738702008
2413630.5,51.92193027679465
2413717.5,54.63823562375314
2413804.5,57.32451059547783
2413891.5,60.02437916864128
2413978.5,62.69124535679498
2414065.5,65.3737272001179
2414152.5,68.02637722509841
2414239.5,70.68917717421617
2414326.5,73.33425477822102
2414413.5,75.97796198376753
2414500.5,78.61833157235625
2414587.5,81.24379670027093
2414674.5,83.88231266172316
2414761.5,86.494681470595
2414848.5,89.12979654013311
2414935.5,91.7338979523232
2415022.5,94.36449847021636
2415109.5,96.96810499606084
2415196.5,99.59168308143072
2415283.5,102.20022773948382
2415370.5,104.81719329655927
2415457.5,107.43513122055292
2415544.5,110.04775458463196
2415631.5,112.67682919613829
2415718.5,115.29016525247066
2415805.5,117.92976069066584
2415892.5,120.54950987144751
2415979.5,123.19910568404666
2416066.5,125.83198454234918
2416153.5,128.48967783852078
2416240.5,131.14039860730597
2416327.5,133.80744827884305
2416414.5,136.48014279432383
2416501.5,139.1581000420937
2416588.5,141.85301276047937
2416675.5,144.54680326337865
2416762.5,147.26432079590825
2416849.5,149.97807401227456
2416936.5,152.71695170924613
2417023.5,155.45539945345044
2417110.5,158.2162321878485
2417197.5,160.9822158755365
2417284.5,163.76596586342802
2417371.5,166.561404118296
2417458.5,169.3707062926077
2417545.5,172.1958179595745
2417632.5,175.033668398155
2417719.5,177.88828946989915
2417806.5,180.75740681229456
2417893.5,183.64175391138232
2417980.5,186.54360379679147
2418067.5,189.4586475692272
2418154.5,192.39328413877635
2418241.5,195.34125846192933
2418328.5,198.30764051847427
2418415.5,201.28998103736654
2418502.5,204.28663626062126
2418589.5,207.30513598988952
2418676.5,210.3311666641661
2418763.5,213.38470707161784
2418850.5,216.44006414651136
2418937.5,219.52700704675973
2419024.5,222.61315367447352
2419111.5,225.72895342770005
2419198.5,228.84718852654302
2419285.5,231.98780139812274
2419372.5,235.13853434633913
2419459.5,238.29971224707072
2419546.5,241.4814762524213
2419633.5,244.66073427527263
2419720.5,247.86917979356915
2419807.5,251.0655446450255
2419894.5,254.29551837495214
2419981.5,257.50917499771055
2420068.5,260.7523773228357
2420155.5,263.98355738114793
2420242.5,267.2337301865338
2420329.5,270.48111997718405
2420416.5,273.7311708703244
2420503.5,276.9906757132217
2420590.5,280.23814038113875
2420677.5,283.5037615663417
2420764.5,286.7459502521379
2420851.5,290.010044045227
2420938.5,293.2471239804341
2421025.5,296.5017428191919
2421112.5,299.73221629600584
2421199.5,302.9703962228568
2421286.5,306.1927355003007
2421373.5,309.4086555097503
2421460.5,312.61840320910136
2421547.5,315.8099422869009
2421634.5,319.0020046531437
2421721.5,322.1676124550597
2421808.5,325.33564613882544
2421895.5,328.4759790213152
2421982.5,331.6154018059882
2422069.5,334.7292511037061
2422156.5,337.83595670477865
2422243.5,340.92244552226646
2422330.5,343.9950927045512
2422417.5,347.05159554944856
2422504.5,350.0898654348946
2422591.5,353.1140960973951
2422678.5,356.11923105681285
2422765.5,359.1092763019282
2422852.5,2.0823115695747085
2422939.5,5.03779493832532
2423026.5,7.978986163352519
2423113.5,10.901310954561398
2423200.5,13.810375028346169
2423287.5,16.701860523773313
2423374.5,19.578161469693868
2423461.5,22.441703460771404
2423548.5,25.285222165340407
2423635.5,28.122496698704918
2423722.5,30.934464051829405
2423809.5,33.74651293729437
2423896.5,36.52946927706811
2423983.5,39.3148631290153
2424070.5,42.07317835751966
2424157.5,44.83124379715932
2424244.5,47.56919559229923
2424331.5,50.29857330101683
2424418.5,53.02009726657393
2424505.5,55.72254253786096
2424592.5,58.42931783359282
2424679.5,61.10730703749902
2424766.5,63.799584896029984
2424853.5,66.45819708416371
2424940.5,69.13414721540796
2425027.5,71.77945050450452
2425114.5,74.43778691646581
2425201.5,77.07572568325713
2425288.5,79.71503256267506
2425375.5,82.35059308308975
2425462.5,84.97391971553914
2425549.5,87.6085819489828
2425636.5,90.2187453234784
2425723.5,92.85273688471837
2425810.5,95.45749479230729
2425897.5,98.08881482820361
2425984.5,100.69297890775584
2426071.5,103.32037350320904
2426158.5,105.93208613240861
2426245.5,108.55513404853598
2426332.5,111.17736332585768
2426419.5,113.7981262442677
2426506.5,116.43427321302224
2426593.5,119.05723084246424
2426680.5,121.70582404673613
2426767.5,124.33689402566897
2426854.5,126.99732296482088
2426941.5,129.642333120576
2427028.5,132.31309018545826
2427115.5,134.97745982638534
2427202.5,137.6594165408724
2427289.5,140.34604432385467
2427376.5,143.04121316474127
2427463.5,145.752279034636
2427550.5,148.4646549320452
2427637.5,151.19937291698602
2427724.5,153.93331941223582
2427811.5,156.6917024693796
2427898.5,159.45156723188788
2427985.5,162.2331305843915
2428072.5,165.02167610041974
2428159.5,167.8281686505475
2428246.5,170.64684641270418
2428333.5,173.48040331015338
2428420.5,176.32939409747513
2428507.5,179.19288582364203
2428594.5,182.07187851907275
