 Date__(UT)__HR:MN, , , hEcl-Lon,hEcl-Lat,      PlAng,  Tru_Anom,  App_Lon_Sun,
*******************************************************************************
$$SOE
 1903-Mar-01 00:00, , , 358.9504, -6.8629,   -0.00974,  105.6607,  307.5639892,
 1903-Apr-01 00:00, , ,   7.0206, -7.0664,   -0.01007,  113.7294,  315.5765311,
 1903-May-01 00:00, , ,  14.6548, -7.1312,   -0.01036,  121.3548,  323.1519912,
 1903-Jun-01 00:00, , ,  22.3758, -7.0695,   -0.01065,  129.0576,  330.8136309,
 1903-Jul-01 00:00, , ,  29.7004, -6.8935,   -0.01091,  136.3595,  338.0857966,
 1903-Aug-01 00:00, , ,  37.1339, -6.6007,   -0.01118,  143.7715,  345.4735030,
 1903-Sep-01 00:00, , ,  44.4486, -6.2047,   -0.01143,  151.0704,  352.7531761,
 1903-Oct-01 00:00, , ,  51.4325, -5.7322,   -0.01166,  158.0500,  359.7152644,
 1903-Nov-01 00:00, , ,  58.5714, -5.1611,   -0.01189,  165.1986,    6.8447228,
 1903-Dec-01 00:00, , ,  65.4242, -4.5367,   -0.01209,  172.0721,   13.7015019,
 1904-Jan-01 00:00, , ,  72.4692, -3.8264,   -0.01230,  179.1486,   20.7635101,
 1904-Feb-01 00:00, , ,  79.4995, -3.0589,   -0.01250,  186.2194,   27.8229077,
 1904-Mar-01 00:00, , ,  86.0833, -2.2972,   -0.01268,  192.8476,   34.4433962,
 1904-Apr-01 00:00, , ,  93.1509, -1.4452,   -0.01288,  199.9713,   41.5583523,
 1904-May-01 00:00, , , 100.0420, -0.5926,   -0.01306,  206.9246,   48.5007612,
 1904-Jun-01 00:00, , , 107.2397,  0.3072,   -0.01325,  214.1915,   55.7542942,
 1904-Jul-01 00:00, , , 114.3028,  1.1853,   -0.01342,  221.3239,   62.8708812,
 1904-Aug-01 00:00, , , 121.7261,  2.0880,   -0.01359,  228.8150,   70.3456259,
 1904-Sep-01 00:00, , , 129.3007,  2.9719,   -0.01376,  236.4478,   77.9639547,
 1904-Oct-01 00:00, , , 136.7973,  3.7945,   -0.01390,  243.9911,   85.4922874,
 1904-Nov-01 00:00, , , 144.7376,  4.5934,   -0.01404,  251.9667,   93.4512136,
 1904-Dec-01 00:00, , , 152.6282,  5.2988,   -0.01416,  259.8779,  101.3436643,
 1905-Jan-01 00:00, , , 161.0115,  5.9372,   -0.01426,  268.2691,  109.7106687,
 1905-Feb-01 00:00, , , 169.6403,  6.4613,   -0.01433,  276.8872,  118.3045392,
 1905-Mar-01 00:00, , , 177.6500,  6.8175,   -0.01437,  284.8700,  126.2682157,
 1905-Apr-01 00:00, , , 186.7559,  7.0617,   -0.01439,  293.9296,  135.3103627,
 1905-May-01 00:00, , , 195.7972,  7.1296,   -0.01437,  302.9125,  144.2824088,
 1905-Jun-01 00:00, , , 205.3581,  7.0107,   -0.01431,  312.4078,  153.7710871,
 1905-Jul-01 00:00, , , 214.7952,  6.7040,   -0.01421,  321.7887,  163.1454566,
 1905-Aug-01 00:00, , , 224.7016,  6.1880,   -0.01405,  331.6530,  173.0024325,
 1905-Sep-01 00:00, , , 234.7216,  5.4785,   -0.01383,  341.6554,  182.9955179,
 1905-Oct-01 00:00, , , 244.4809,  4.6255,   -0.01356,  351.4254,  192.7541099,
 1905-Nov-01 00:00, , , 254.5816,  3.6002,   -0.01322,    1.5625,  202.8806415,
 1905-Dec-01 00:00, , , 264.3265,  2.5026,   -0.01283,   11.3642,  212.6733731,
 1906-Jan-01 00:00, , , 274.3217,  1.3002,   -0.01239,   21.4351,  222.7350218,
 1906-Feb-01 00:00, , , 284.2019,  0.0716,   -0.01190,   31.3996,  232.6905841,
 1906-Mar-01 00:00, , , 292.9998, -1.0255,   -0.01142,   40.2759,  241.5562043,
 1906-Apr-01 00:00, , , 302.5762, -2.1905,   -0.01087,   49.9342,  251.1994266,
